project_name,actual_co2_tons,total_project_cost_mil_usd,category,log_co2
"Armenia: Electric Networks of Armenia (ENA) Distribution Network (7514/3540/FY2017). Improve the quality of the distribution network and services of ENA's multisite operations across the country; reduce electricity losses and operational expenses; improve technical maintenance and safety conditions; modernize the metering system; rehabilitate, reinforce, and augment the distribution network; connect new customers; and introduce international standards of management and an automated control system.",11400,201.24,EE,9.34145634983372
"Papua New Guinea: Town Electrification Investment Program, Tranche 2 (3544–3545/FY2017). Rehabilitate two hydropower plants, Yonki Toe of Dam Hydropower Plant and Warangoi Hydropower Plant, which are currently operating below their full capacities; construct Ramazon run-of-river small hydropower plant with a capacity of 3 MW.",70000,76.60,RE,11.156264806643742
"Samoa: Solar Power Development (Jarcon PTY Limited and Sun Pacific Energy Limited) (7515/3553/FY2017). Increase supply of clean, carbon-negative solar energy generated through an independent power producer. ",1644,7.00,RE,7.405495663199472
"Sri Lanka: Rooftop Solar Power Generation Project (3571/FY2017). Install rooftop solar power generation systems, develop rooftop solar market infrastructure and a bankable subproject pipeline, and build capacity and increase awareness of stakeholders in Sri Lanka.",55600,59.80,RE,10.925956465688445
"Thailand: Southern Thailand Waste-to-Energy (WTE) Project (Chana Green Company Limited) (7524/3581/FY2017). Construct and operate a 25-MW biomass WTE power project located in Chana, Songhla Province, Southern Thailand, which will convert about 825 tons per day of agricultural waste into renewable electricity generation.",72874,not disclosedg,RE,11.196500923652794
"Sri Lanka: Wind Power Generation Project (3585/FY2017). Support wind power generation development, involving construction of a 100-MW wind farm, including wind park internal infrastructure, internal cabling, access roads, and other arrangements; installation of a renewable energy dispatch control center to forecast, control, and manage intermittent wind power generation; improvement of power system reactive power management; and provision of project engineering design review and supervision support in Mannar Island of the Northern Province.",265700,256.70,RE,12.490126895384028
"Indonesia: Eastern Indonesia Renewable Energy, Phase 1 (PT Energi Bayu Jeneponto) (7533/3606/FY2017). Support the construction, operation, and maintenance of a portfolio of renewable energy projects by the Equis Group of East Indonesia; Phase 1 is a 72-MW wind power plant in Jeneponto, South Sulawesi.",159000,not disclosedh,RE,11.976665770490767
"Viet Nam: Municipal Waste-to-Energy Project
(China Everbright International Limited) (7534/3607/FY2017). Support the construction and operation of a series of waste-to-energy plants with advanced clean technologies, including flue gas emission control to meet European Union standards, in multiple municipalities; each plant incinerates municipal solid waste, recovers waste heat for power generation, and supplies electricity to the local grid.",787300,not disclosedh,RE,13.576365919335602
"India: Ostro Kutch Wind Private Limited (Kutch Wind Project) (7539/3622/FY2017). Install 125 V-110 Vestas turbines of 2-MW wind capacity each. Ostro Kutch has signed four power purchase agreements with PTC India Limited for the sale of 250-MW wind power produced by the project. Facilitating the delivery of the country's first wind energy auction, the project demonstrates the commercial viability of competitively bid wind projects and encourages long-term private sector financing in this sector. The project will also help reduce the country's dependence on fossil fuels and promote renewable energy development.",669036,not disclosedh,RE,13.413594644008525
"China, People’s Republic of: Geothermal
District Heating Project (Sinopec Green Energy
Geothermal Development) (7540/3638/FY2017). Support the construction, acquisition, rehabilitation, and operation of a series of urban district heating system based on geothermal energy.",7000000,not disclosedh,RE,15.76142084987672
"Mongolia: Upscaling Renewable Energy Sector Project (3708/FY2018). Develop a 41-MW renewable energy, the first of its kind, and distributed renewable energy system with a variety of renewable energy technologies supplying clean electricity and heat in geographically scattered load centers in the less-developed region of Western Mongolia. Once completed, the project will generate 99 GWh of clean electricity yearly, thereby enabling the country to reduce its CO2 emissions by 87,968 tons per year.",87968,66.22,RE,11.384739758670458
"Indonesia: Rantau Dedap Geothermal Power Project, Phase 2 (3647/FY2018). Construct, operate, and maintain the project, with a design gross capacity of 98.4 MW and net capacity of 90.9 MW, in South Sumatra Province. It is located about 225 km southwest of Palembang across the administrative areas of Muara Enim Regency, Lahat Regency, and Pagar Alam City.",403000,709.00,RE,12.90669432231532
"Indonesia: Eastern Indonesia Renewable Energy Project, Phase 2 (7550/3653–3656/FY2018). Construct, operate, and maintain projects by Equis Group in Eastern Indonesia. Phase 2 consists of a 21-MW solar power plant and associated infrastructure in Likupang, North Sulawesi; and three 7-MW solar power plants and associated infrastructure in Pringgabaya, Selong, and Sengkol in Lombok, West Nusa Tenggara. Equis Group will develop and implement phase 2 under four 20-year build–own–operate power purchase agreements.",41400,53.56,RE,10.63106031411106
"Kazakhstan: Baikonyr Solar Power Project (7556/3658/FY2018). Support the design, construction, commissioning, operation, and maintenance of a 50-MWp ground-mounted solar power plant (along with associated infrastructure) and its integration into the grid. The main project components will include about 150,822 photovoltaic panels, 14 central inverter stations, and a substation. The project is located in southern Kazakhstan, about 30 km east of Kyzylorda, and will cover 150 ha.",40800,72.00,RE,10.616461869895815
"Viet Nam: Floating Solar Energy Project (7571/3723/FY2018). Install 47.5-MW floating solar photovoltaic panels on the reservoir of the existing Da Mi Hydropower Plant; additional facilities include a floating central inverter, a grounded substation, and a new 3.5-km, 110-kV transmission line to connect with the national grid.",30302,62.00,RE,10.319001996497294
"China, People's Republic of: Eco-Industrial Park Waste-to-Energy Project (7576/3750/FY2018). Support the construction and operation of a portfolio of waste-to-energy (WTE) plants using clean, state-of-the-art technology, including advanced flue gas emission control systems that can meet stringent environmental standards. Each WTE will help meet the need of municipalities to treat waste and supply electricity to the local grid, with potential to supply power and steam to treat various waste types within the park.",737154,400.00,RE,13.510553461134974
"Thailand: Thailand Green Bond Project (7579/3753 and 7579/3754/FY2018). Issue corporate bonds for the construction and refinancing of 16 utility-scale solar power plants in Thailand; total installed capacity of the 16 plants is 98.5 MW, of which nine plants totaling 67.7 MW are completed and operational, while seven plants totaling 30.8 MW are under construction. B. Grimm will issue corporate bonds to which ADB will subscribe.",20115,154.68,RE,9.909270797291855
"Vanuatu: Energy Access Project (3572/FY2017). Install hydropower generation to replace diesel generation in Malekula, and extend the distribution grid in both Malekula and Espiritu Santo.",600,15.10,RE,6.398594934535208
"Nepal: Power Transmission and Distribution Efficiency Enhancement Project (3542/FY2017). Enhance the distribution capacity and improve reliability and quality of electricity supply in the Kathmandu Valley by reducing distribution system overloads and technical and commercial losses, and strengthen associated transmission lines through the Nepal Electricity Authority.",54400,189.00,EE,10.904137815028022
"Kazakhstan: Total Eren Access M-KAT Solar Power Project (3770/FY2019). Design, construct, and operate a 135-MW ground-mounted solar power plant, along with associated infrastructure and grid integration for further electricity sale per a fixed tariff; the total annual output from the project is expected to be 207 GWh.      ",120500,165.52,RE,11.699413330633599
"Mongolia: Sermsang Khushig Khundii Solar Project (3772/FY2019). Construct and operate a 15-MW solar power plant and associated infrastructure in Khushig Valley, which is expected to generate a total of 22.3 GWh of clean electricity annually to be utilized by the new international airport and by Ulaanbaatar City.                                       ",24400,18.70,RE,10.102379394048045
"Solomon Islands: Tina River Hydropower (3828/FY2019). Design, construct, and operate a 15-MW hydropower plant on the Tina River, which will supply electricity to Honiara, the capital of Solomon Islands. The project, which is estimated to generate 68% of Honiara's electricity needs, will reduce the cost of power supply generation by replacing diesel power with hydropower, and also reduce greenhouse gas (GHG) emissions. ",49500,222.57,RE,10.809748150372926
Viet Nam: Gulf Solar Power Project (3852/FY2019). Construct and operate a 50-MW solar power plant and associated transmission line in the Thanh Thanh Cong Industrial Zone of Tay Ninh Province. ,29760,51.50,RE,10.300954090533025
Viet Nam: B. Grimm Viet Nam Solar Power Project (Phu Yen Project) (3902/FY2020). Operate a 257-MW solar photovoltaic power plant and its associated facilities in Phu Yen Province.,123000,186.00,RE,11.719947764402807
India: Gujarat Solar Power Project (3904/FY2020). Construct a 200-MW solar photovoltaic-based power plant located in the state of Gujarat in India.,385000,152.40,RE,12.861001210669146
"Thailand: Green Loan for Renewable Energy and Electric Vehicle Charging Network (EVCN) (7644/3966/FY2020). Support Thailand's renewable energy sector, increase awareness about green loans, and support the transition from a conventional automotive industry to an electric vehicle industry in Thailand by establishing a comprehensive EVCN across Thailand's major cities.",53250,47.62,RE,10.882771862738064
"Uzbekistan: Navoi Solar Power Project (7647/3986/FY2020). Construct a 100-MW, grid-connected solar power plant in Navoi District, Uzbekistan.",157502,21.00,RE,11.96719978468547
"Maldives: Preparing Outer Islands for Sustainable Energy Development Project, Additional Financing (3995/FY2020). Install equipment for solar diesel hybrid grids on about 160 islands. The project will replace inefficient diesel-based power generation grids with hybrid systems of both renewable energy and diesel.",4501,11.00,RE and EE,8.412277021466677
"India: Meghalaya Power Distribution Sector Improvement Project (3996/FY2020). Strengthen and modernize the power distribution network, reduce technical and commercial losses, and improve the power quality of the distribution network in Meghalaya State. ",162022,168.00,EE,11.995493579445624
"China, People's Republic of: Air Quality Improvement in the Greater Beijing–Tianjin–Hebei (BTH) Region—Green Financing Scale up Project (4023/FY2020). Address emerging challenges in air quality improvement and GHG emission reduction in both the greater BTH and Yangtze River Delta regions through energy efficiency, cleaner transport systems development, renewable energy development, and cooling systems retrofit.",800000,650.78,RE and EE,13.592368256649284
India: Bengaluru Smart Energy Efficient Power Distribution Project (4028/FY2020). Convert overhead distribution lines to underground cables and install automated ring main units adapted with a distribution automation system (DAS) in urban Bengaluru city.,113653,277.30,EE,11.640914024437839
"Bangladesh: Bangladesh Power System Enhancement and Efficiency Improvement Project, Additional Financing (4039-4040/FY2020). Further improve distribution network in rural areas of Bangladesh over the original project.",68727,313.50,EE,11.137911964317892
Nepal: Electricity Grid Modernization Project (4014/FY2020). Finance high-priority electricity grid modernization investments both in transmission and distribution systems in Nepal.,34716,195.00,EE,10.45498475951116
India: Bengaluru Smart Energy Efficient Power Distribution Project (4024/FY2020). Convert overhead distribution lines to underground cables and install automated ring main units adapted with a distribution automation system (DAS) in urban Bengaluru city.,113653,277.30,EE,11.640914024437839
"Cambodia: Prime Road National Solar Park Project (4048/FY2021). Support the Prime Road Alternative (Cambodia) Co. Ltd to develop and operate a 60-MW, alternating current, solar photovoltaic power plant in Kampong Chhnang Province. ",110700,41.20,RE,11.614588152079595
Azerbaijan: ALAT Solar Power (Masdar Azerbaijan Energy Ltd. Liability Co.) (4182/FY2022). Construct a 230-MW solar photovoltaic power plant near Alat settlement.,255400,not disclosedh,RE,12.450590137999692
"Uzbekistan: Zarafshan Wind Power Project (4197/FY2022). Provide long-term financing for a 500-MW, grid-connected wind power project. It will consist of 111 wind turbines, each with 4.7-MW capacity.",892137,not disclosedh,RE,13.701376108116197
Lao People's Democratic Republic: Monsoon Wind Power Project (4243/FY2022). Construct a wind power project with a contracted capacity of 600 MW in Lao People's Democratic Republic (Lao PDR) that will export and sell electricity into neighboring Viet Nam.,748867,946.50,RE,13.526318011988174
Viet Nam: AC Energy Wind Project (4240/FY2022). Construct an 88-MW wind farm in Ninh Thuan P+A90rovince. ,118458,not disclosedh,RE,11.682322188127252
Bhutan: Renewable Energy for Climate Resilience Project (4231/FY2022). Construct one solar photovoltaic power plant located in central-west Bhutan with a minimum total capacity of 17.38 MWp. ,0,19.25,RE,0.0
Uzbekistan: Jizzakh Solar Power Project (4303/FY2023). Construct a 220-MW grid-connected solar power plant and associated infrastructure in the Jizzakh region.,319505,206.50,RE,12.67453133196612
Uzbekistan: Sherabad Solar Power Project (4301/FY2023). Construct a 457-MW grid-connected solar power plant and associated infrastructure in the Sherabad region.,592850,431.20,RE,13.292698381652105
Uzbekistan: Bash Wind Power Project (4293/FY2023). Construct a 500-MW grid-connected wind power project in the Bukhara region.,924881,690.10,RE,13.73742144078956
Uzbekistan: Dzhankeldy Wind Power Project (4294/FY2023). Construct a 500-MW grid-connected wind power project in the Bukhara region.,879907,656.50,RE,13.687572635534586
Uzbekistan: Samarkand Solar Power Project (4302/FY2023). Construct a 220-MW grid-connected solar power plant and associated infrastructure in the Samarkand region.,309054,202.20,RE,12.641274533568422
"Maldives: Accelerating Sustainable System Development Using Renewable Energy Project (4344/FY2023). Improve energy security and the sustainable transition of the power
sector. It will help 20 outer islands attain higher levels of renewable energy penetration through capital-intensive investments in energy storage and associated technologies to ensure island grids are ready for higher renewable energy penetration.",22047,100.47,RE,10.000977173813386
Philippines: Buskowitz Rooftop Solar Project (4367/FY2023). Construct a portfolio of rooftop photovoltaic power systems on commercial and industrial buildings in the Philippines of up to 70 MW.,54347,not disclosedh,RE,10.903163093344213
Uzbekistan: Bukhara Solar and Battery Energy Storage Project (4380/FY2023). Construct a 250-MW solar photovoltaic power system along with a 63-MW/126-MWh of battery storage and a 220-kV substation in the Bukhara region.,309604,315.70,RE,12.643052570438103
Bangladesh: Paramount Solar Power Project (4394/FY2023). Construct a 100-MW grid-connected solar photovoltaic power plant in Pabna. ,93654,174.00,RE,11.447373096729992
India: SAEL Gujarat Solar Power Project (4400/FY2023). Construct a 400-MW solar-photovoltaic power project located at Ultra Mega Renewable Energy Power Park in Gujarat.,783855,303.37,RE,13.571980608993119
Philippines: ACEN Sustainability-Linked Facility (4370/FY2023). Finance solar photovoltaic projects in the Philippines.,277650,not disclosedh,RE,12.53412020832003
"Bangladesh: FPEBL Rooftop Solar Power Project (4458/FY2024). Construct and operate a portfolio of rooftop solar projects installed on commercial and industrial buildings of leading corporates in Dhaka, with a total capacity of up to 50 MW peak.",29000,28.27,RE,10.275085591132715
India: Engie Solar Power Project (4445/FY2024). Construct and operate a 400 MW solar-photovoltaic power project in Gujarat.,662441,221.30,RE,13.403688285840225
Thailand: Gulf Solar and Solar with Battery Energy Storage Systems Project (4446/FY2024). Construct 8 ground-mounted solar photovoltaic (PV) plants with contracted capacity of 393 MW and 4 ground-mounted solar PV plants with battery energy storage with contracted capacity of 256 MW and 396 MW-hours of energy storage.,605466,not disclosedh,RE,13.3137553400772
Bhutan: Distributed Solar for Public Infrastructure Project (4491/FY2024). Construct up to 35 MW capacity of solar power systems on rooftops of public infrastructure across the country.,39735,34.00,RE,10.590012856787187
"Solomon Islands: Renewable Energy Development Project (4478/FY2024). Aims to (i) improve energy security by increasing the clean energy share in the country's energy mix, which is dominated by fossil fuel generation; and (ii) contribute to sector reforms for better governance and public-private partnership (PPP) enabling environment in the development of renewable energy.",5600,42.00,RE,8.630700432209832
Azerbaijan: Bilasuvar Solar Power Project (4537/FY2024). Construct and operate a 445 MW solar photovoltaic power plant in Bilasuvar.,426152,not disclosedh,RE,12.962553715700391
Azerbaijan: Banka Solar Power Project (4536/FY2024). Construct and operate a 315 MW solar photovoltaic power plant in Banka.,302972,not disclosedh,RE,12.62139897161018
Bangladesh: Muktagacha Solar Power Project (4529/FY2024).  Construct a 20 MW grid-connected solar photovoltaic power plant and associated infrastructure in Muktagacha.,18344,24.30,RE,9.817112336789382
"Turkmenistan: North–South Railway (2737/FY2011). Increase accessibility and regional trade, and contribute to economic growth and the development of an integrated and efficient railway system in the region.",26800,166.70,transport,10.196194479235656
"Bangladesh: Greater Dhaka Sustainable Urban Transport Project (2862/FY2012). Provide a holistic solution for integrated urban mobility through an energy-efficient sustainable urban transport system in Gazipur City Corporation, which forms part of north Greater Dhaka.",40000,255.00,transport,10.596659732783579
"China, People's Republic of: Railway Energy Efficiency and Safety Enhancement Investment Program, Tranche 4 (3082/FY2013). Provide significant environmental and safety benefits by introducing environmental protection and railway safety enhancement equipment, such as anti-seismic bridge bearings, enhanced railway fasteners, heavy duty switches, and signaling system facilities.",2008,547.60,transport,7.605392364814935
"China, People's Republic of: Railway Energy Efficiency and Safety Enhancement Investment Program, Tranche 5 (3109/FY2014). Support the development of a sustainable, energy-efficient, safe, reliable, affordable, and environment-friendly railway system in the PRC through the procurement and installation of a railway electrification system, a railway electric power supply system, track safety operation and maintenance equipment, enhanced railway fasteners, anti-seismic bridge bearings, railway telecommunication system, and a railway signaling system.",2009,580.15,transport,7.605890001053122
"Bangladesh: SASEC Railway Connectivity—Akhaura–Laksam Double Track (3169/FY2014). Increase the capacity of the Dhaka–Chittagong corridor by (i) completing the double tracking on the entire corridor, which accounts for more than 40% of all passenger journeys by railway in Bangladesh; and (ii) upgrading and reconstructing the existing track.",14,805.00,transport,2.70805020110221
"Thailand: Bangkok Mass Rapid Transit (3669, 3672/FY2019). Construct the monorail system of the MRT Pink Line and Yellow Line projects in Bangkok, wherein the Mass Rapid Transit Authority of Thailand will be responsible for the provision of the land and the right of way, while the private sector will invest in all civil works, monitoring and evaluation systems, and rolling stocks including operation and maintenance services.",50000,"2,960.00",transport,10.819798284210286
"Uzbekistan: Railway Efficiency Improvement Project (3785/FY2019). Improve the efficiency of Uzbekistan's railway operations, combining investments where it faces operational bottlenecks (e.g., electric locomotives), and provide strategic support to improve business practices.",900000,218.30,transport,13.710151153416941
Pakistan: Karachi Bus Rapid Transit Red Line Project (3799/FY2019). Increase the use of quality public transport in Karachi by delivering the 26.6-km BRT Red Line corridor and associated facilities.,77979,323.00,transport,11.264207662536588
"China, People's Republic of: Jilin Yanji Low-Carbon Climate-Resilient Healthy City Project (3876/FY2019). Provide multiple cross-benefits from an integrated solution delivered to improve the urban livability of Yanji City (a medium-sized city), which is timely and essential to lessen migration to the coastal mega-urban regions and to provide a demonstration project for replication in the PRC.",60000,259.79,transport,11.002116507732017
"India: Delhi–Meerut Regional Rapid Transit System Investment Project (3964/4404/FY2020). Finance the first of three prioritized corridors of the planned regional rapid transit system network in India's National Capital Region. The 82-km corridor will provide safe, reliable, and high-capacity commuter transit services between various locations along the corridor. ",258035,"3,949.70",transport,12.46085438905339
"Uzbekistan: Central Asia Regional Economic Cooperation Corridor 2 (Pap–Namangan–Andijan) Railway Electrification Project, Additional Financing (4000/FY2020). Provide additional financing for the Central Asia Regional Economic Cooperation (CAREC) Corridor 2 (Pap–Namangan–Andijan) Railway Electrification Project, for Modernization of Electrified Line Angren–Pap–Kokand–Andjian Railway Line.",24870,164.00,transport,10.12145774507634
"China, People's Republic of: Shaanxi Green Intelligent Transport and Logistics Management Demonstration Project (4035/FY2020). Assist Shaanxi Province in reducing GHG emissions by improving operations, facilities, and safety in the transport and logistics sector.",69000,804.08,transport,11.141876276228
Kyrgyz Republic: Urban Transport Electrification Project (4149/FY2021). Jumpstart a long-term transition toward a zero tailpipe-emission transport sector in the Kyrgyz Republic. It will comprise four interlinked outputs: (i) zero-emission tailpipe bus fleet in Bishkek municipality upgraded; (ii) bus depot infrastructure upgraded; (iii) pilot green mobility corridor established; and (iv) Bishkek bus operation sustainability improved. ,1,59.55,transport,0.6931471805599453
"Uzbekistan: Central Asia Regional Economic Cooperation Corridor 2 (Bukhara–Miskin–Urgench–Khiva) Railway Electrification Project (4170/FY2021). Add electrification, signaling and telecommunication, and traction power management systems to the recently built railway line between Bukhara, Miskin, Urgench, and Khiva, a total of 465 km.",81000,445.65,transport,11.302216779257382
"India: Nhavae Sheva Container Terminal Financing Project (4290/FY2023). Upgrade the operating container terminal at the Jawaharlal Nehru Port located in Navi Mumbai, Maharashtra on a public–private partnership basis under a 30-year concession. The project includes upgrading and strengthening the existing berths and yard and installing additional equipment such as quay cranes and electric rail mounted quay cranes. ",4977,187.10,transport,8.512783482927537
Bangladesh: Flood Reconstruction Emergency Assistance Project (4305/FY2023). Assist the government's rehabilitation and reconstruction efforts in the districts affected by the devastating floods last May to June 2022.,1,289.17,transport,0.6931471805599453
"Georgia: Tegeta Green Vehicles Bond Project (7781/FY2023). Finance the inventory of green electric light vehicles and road and nonroad vehicles, and the expansion of the electric vehicle charging network in Georgia; thus promoting the adoption of electric vehicles with zero emissions in the country.",1636,7.69,transport,7.400620577371135
"Philippines: Davao Public Transport Modernization Project (4324/FY2023). Establish a modern public bus transport system in Davao City, with modern electric buses and Euro-5 standard diesel buses, standardized operations and reliable timetables, an intelligent transport system to support bus operation, designated bus stops with shelters and lighting, and designated bus lanes in selected road sections. ",3,"1,710.78",transport,1.3862943611198906
India: Nagpur Metro Urban Mobility Project (4469/FY2024): Develop four new metro rail extension corridors comprising 43.8 km route length to improve transport connectivity and further encourage a shift to low carbon transport in Nagpur. ,12478,912.81,transport,9.431802510507854
