Link to More Information," Project Name 
(Number/Year Loan Approved)  
and Description",A/Ma,Target Resultsb,"Total Project Cost
($ million)","Loan Approval
($ million)c","Eligibility for Green Bonds
($ million)d","Allocated Amount 
($ million)e"," Reflow Amount 
($ million)f "
https://www.adb.org/projects/47279-003/main#project-pds,Pakistan: Karachi Bus Rapid Transit Project—Project Design Advance (6008/FY2016). Provide a holistic solution for integrated urban mobility through a BRT.,M,"• Public transport in Karachi improved, benefiting a population of 1 million.
• Consulting services financed and a procurement-ready project prepared through the project design advance.",200.00,9.70,9.70,8.33, -   
https://www.adb.org/projects/48289-002/main#project-pds,Pakistan: Peshawar Sustainable Bus Rapid Transit Corridor Project (3543/FY2017). Provide urban mass transit (a BRT) to improve mobility and urban public space.,M,"• Public transport in Peshawar improved, directly benefiting a population of at least 0.5 million.
• A procurement-ready project prepared through the project design advance.
• Consulting services covered for engineering, procurement, and construction management; operational design and business model; and project management, coordination, and capacity building.
• Annual GHG reduced by 31,000 metric tons.",587.00,335.00,335.00,319.77, (58.01)
https://www.adb.org/projects/42019-013/main#project-pds,"China, People's Republic of: Mountain Railway Safety Enhancement Project (3556/FY2017). Help the government build a safer, more reliable, and more efficient rail transport system in the mountainous southwest region of the PRC. ",M,"• Railway signaling, communication, and power supply system developed, including signaling and communication equipment to improve train operation safety (e.g., centralized train dispatching and monitoring, automatic block signaling, interlocking devices, and train control systems); procurement of electric power supply and bridge bearings for the safety of railway bridges covered. 
• Tunnel safety operation and monitoring system installed, including cover lighting, ventilation, firefighting and fire control systems, and emergency rescue and disaster management systems. ",860.00,180.00,180.00,180.20, (20.03)
https://www.adb.org/projects/50010-002/main#project-pds,"China, People's Republic of: Shandong Spring City Green Modern Trolley Bus Demonstration Project (3583/FY2017). Improve the urban transport environment in Jinan, Shandong Province by reducing emissions and congestion in the city through the development of a modern trolley bus network.",M,"• 111.2 km of prioritized high-quality BRT lanes served by electric trolley buses over 39 routes, 93 new and 65 upgraded median stations with real-time passenger information systems, eight upgraded and eight new bus depots, and 36 new traction substations and power lines.",422.00,150.00,150.00,150.00, (15.73)
https://www.adb.org/projects/50312-003/main#project-overview,"Bangladesh: Railway Rolling Stock Operations Improvement (3645–3646/FY2018). Improve the operational efficiency of Bangladesh Railway through the procurement of modern rolling stock, preparation of investment projects to enhance its rolling stock maintenance capacity, and support for the ongoing railway reform.",A and M,"By 2021: 
• 40 broad-gauge locomotives procured (2016 baseline: not applicable); 75 meter-gauge and 50 broad-gauge luggage vans procured (2016 baseline: not applicable); 400 meter-gauge and 300 broad-gauge bogie covered wagons procured (2016 baseline: not applicable); 80 meter-gauge and 120 broad-gauge bogie open wagons procured (2016 baseline: not applicable).
• Detailed designs of four maintenance facilities for locomotives and diesel electric multiple units completed.

By 2022:
• Vehicle-km per coaching vehicle-day on line increased by 10% (2016 baseline: 469 vehicle-km for broad-gauge passenger carriages, 194 vehicle-km for broad-gauge other coaching vehicles, 262 vehicle-km for meter-gauge passenger carriages, and 89 vehicle-km for meter-gauge other coaching vehicles).
• Vehicle-km per freight wagon day on line increased by 10% (2016 baseline: 58.7 vehicle-km for broad-gauge freightwagons, and 10.1 vehicle-km for meter-gauge freight wagons).
• Passenger-km increased by 10% (2016 baseline: 9,167 million passenger-km).
• Ton-km increased by 10% (2016 baseline: 675 million ton-km).
• Operating ratio without public service obligation improved by 15% (2016 baseline: 246%).
• Fuel consumption of APU-equipped diesel locomotives reduced by 10% (2016 baseline: 350 liters per locomotive per day without APU).",453.37,360.00,360.00,232.80, (14.08)
https://www.adb.org/projects/51274-001/main#project-pds,"Thailand: Bangkok Mass Rapid Transit (3669, 3672/FY2019). Construct the monorail system of the MRT Pink Line and Yellow Line projects in Bangkok, wherein the Mass Rapid Transit Authority of Thailand will be responsible for the provision of the land and the right of way, while the private sector will invest in all civil works, monitoring and evaluation systems, and rolling stocks including operation and maintenance services.",A and M,"• Annual average of 50,000 tons of CO2 equivalent of GHG emissions avoided by 2025 (2017 baseline: 0).","2,960.00",318.00,318.00,275.19, (35.32)
https://www.adb.org/projects/49469-007/main#project-pds,"India: Mumbai Metro Rail Systems Project  (3775/FY2019). Support the implementation of 58 km of metro lines through (i) the manufacture of energy-efficient rolling stock carriages; (ii) installation of  signaling, train control, and platform access systems; and (iii) establishment of a Mumbai metro operations organization.",M,"By 2023:
• Peak-hour, peak-direction traffic on metro rail system increased to 21,500 (2018 baseline: 0).
• Traffic accidents on the metro rail system reduced by 95% compared to the existing suburban railway system (2018 baseline: 3,000 fatalities per year).
• Annual GHG reduced by 166,507 metric tons.","1,675.00",926.00,926.00,424.30, (36.51)
https://www.adb.org/projects/51052-002/main#project-pds,"Uzbekistan: Railway Efficiency Improvement Project (3785/FY2019). Improve the efficiency of Uzbekistan's railway operations, combining investments where it faces operational bottlenecks (e.g., electric locomotives), and provide strategic support to improve business practices.",M,"By 2026:
• Average speed of train operations increased by at least 4% both for freight and passenger trains (2018 baseline: 30.0 kph for freight trains and 62.5 kph for passenger trains).
• 900,000 tons of CO2 equivalent emissions mitigated per year (2018 baseline: 0).",218.30,170.00,170.00,169.93, (18.65)
https://www.adb.org/projects/52083-001/main#project-pds,"Philippines: Malolos–Clark Railway Project (52083-001/3796/FY2019). Support the construction of two sections (totaling 53.1 km) of the North–South Commuter Railway, a 163-km suburban railway network connecting the regional center of Clark in Central Luzon with Metro Manila and Calamba, Laguna.",A and M,"By 2025:
•  Journey from Blumentritt to Clark by public transport reduced to less than 1 hour (2019 baseline: at least 2–3 hours by bus).
• 171,000 passengers transported by rail between Manila and Clark daily (2019 baseline: 0).
• Annual GHG reduced by 60,000 metric tons.
","6,139.00","2,750.00","2,750.00","1,295.30", (81.03)
https://www.adb.org/projects/42019-014/main#project-pds,"China, People's Republic of: Multimodal Passenger Hub and Railway Maintenance Project (3797/FY2019). Construct a demonstration multimodal hub on a new railway line in Xichang City, Sichuan Province; improve maintenance systems by introducing modern maintenance equipment; and enhance institutional capacity for railway maintenance.",M,"By 2027:
 • Passenger volume through Xichang increased to 2.85 million per year (2017 baseline: 1.77 million per year).
• Number of passenger trains stopping in Xichang increased to 70 (2017 baseline: 20).
 • Maintenance personnel requirement per km of track reduced by 50% (2017 baseline: track tamping requires 1 person per hour for every 50 meters of track).",425.81,120.00,120.00,30.36, (3.59)
https://www.adb.org/projects/52002-001/main#project-pds,"India: Chhattisgarh Road Connectivity Project (3795/FY2019). Rehabilitate and upgrade at least 850 km of state highways and major district roads in Chhattisgarh to improve connectivity and access to basic services and livelihood opportunities, and provide support to the executing agency in road maintenance and safety.",A,"• Rehabilitate or upgrade two state highways and 23 major district roads, with a total length of at least 850 km in Chhattisgarh. ",521.69,350.00,30.31,22.45, (2.28)
https://www.adb.org/projects/47279-002/main#project-pds,Pakistan: Karachi Bus Rapid Transit Red Line Project (3799/FY2019). Increase the use of quality public transport in Karachi by delivering the 26.6-km BRT Red Line corridor and associated facilities.,A and M,"By 2023:
• Modern BRT buses operating at a maximum 6-minute headway over a 100 km-long network (2018 baseline: 0).
• Daily, 320,000 passengers using BRT, of which 15% are women in 2022 (first year of operation) and 20% in 2024 (2018 baseline: 0).
• Average bus commercial speed on the BRT corridor increased to 25.0 km/h (2018 baseline: 12.2 km/h).
• At least 77,979 tons of GHG emissions avoided annually by the BRT system using compressed natural gas hybrid buses (2018 baseline: 0).",323.00,235.00,115.00,17.47, -   
https://www.adb.org/projects/46452-004/main#project-pds,"Bangladesh: SASEC Chittagong–Cox's Bazar Railway Project, Phase 1, Tranche 2 (3780/FY2019). Construct 102 km of the Dohazari–Cox's Bazar section of the Chittagong–Cox's Bazar railway corridor in southeastern Bangladesh, and strengthen the capacity of the railway sector in project management and implementation.",A and M,"By 2024:
• 10 passenger trains operating daily between Chittagong and Cox's Bazar (2016 baseline: 0).
• 2.9 million annual passengers transported between Chittagong and Cox's Bazar (2016 baseline: 0).
• Cox's Bazar district connected to the national and subregional railway network (2016 baseline: not connected).
","2,013.00",400.00,400.00,374.07, (17.26)
https://www.adb.org/projects/49111-005/main#project-pds,"Sri Lanka: Railway Efficiency Improvement Project (3806/FY2019). Modernize the country’s railway network by improving the operational efficiency, maintenance capacity, safety management, skills development, and implementation capacity of Sri Lanka Railways.",A and M,"By 2025:
• Average delay per passenger reduced by 10% (2018 baseline: 15.8 minutes per passenger).
• Total railway accidents on the network decreased by 4% (2017 baseline: 213 accidents).",192.00,160.00,160.00,59.75, -   
https://www.adb.org/projects/51366-001/main#project-pds,"China, People's Republic of: Guizhou Gui’an New District New Urbanization Smart Transport System Development Project (3807/FY2019). Support Gui'an New District (Gui'an) in developing an Intelligent Transport System and sustainable transport infrastructure.",M,"By 2026:
• Public transport modal share increased to 50% (2018 baseline: 10%).
• Energy-efficient buses operating over a 800-km network (2018 baseline: 415 km).
• Annual road crashes reduced by 20% (2018 baseline: 1,430 crashes).",495.81,199.46,108.59,31.56, (1.41)
https://www.adb.org/projects/52097-002/main#project-pds,"Nepal: SASEC Mugling–Pokhara Highway Improvement, Phase 1 Project (3846/FY2019). Improve the capacity, reliability, and safety of road links between Pokhara (Nepal’s second largest city) and Mugling (a central junction of the strategic road network) that further link to Kathmandu (the administrative and economic capital) and to Bharatpur (Nepal’s fourth largest city and a gateway to the East–West Highway and international markets).",A,"By 2026:
• Average travel time on the project road reduced by 33% (2019 baseline: 1.87 minutes per km).
• Average daily vehicle-km along the project road increased by 33% (2019 baseline: 756,200 vehicle-km).
• Total road fatalities per 100,000 vehicle-km traveled along the project reduced by 20% (2019 baseline: to be determined).",254.00,195.00,17.70,5.71, -   
https://www.adb.org/projects/51375-001/main#project-pds,"India: Public–Private Partnership in Madhya Pradesh Road Sector Project (3849/FY2019). Improve transport connectivity in Madhya Pradesh by rehabilitating and upgrading about 1,600 km of newly declared state highways and single-lane major district roads to two-lane widths.",A,"By 2025:
• Vehicle-km on project roads increased to 9.0 million (2018 baseline: 6.5 million vehicle-km).
• Average travel time on the project roads reduced by 20% (2018 baseline: 2.2 minutes per km).
• Vehicle operating cost (economic) on the project roads reduced by 20% for cars and trucks (2018 baseline: ₹6.8 per km for cars and ₹20.9 per km for medium trucks).
• Reported serious and fatal accidents on the project roads reduced by 20% (2018 baseline: 111 in a year).",904.00,490.00,82.20,58.25, (4.03)
https://www.adb.org/projects/50301-003/main#project-pds,"Sri Lanka: Second Integrated Road Investment Program, Tranche 2 (3851/FY2019). Finance the second slice of projects of the time-slice multitranche financing facility (approved on 29 September 2017), which will (i) upgrade and maintain about 3,400 km of rural access roads to all-weather standard; (ii) rehabilitate and maintain to a good condition about 340 km of national roads in Eastern, Northern, Uva, and Western Provinces; and (iii) improve the capacity of road agencies with respect to safeguards, road safety, maintenance, research capacity, and road design and construction.",A,"By 2027:
• Travel time on rural project roads reduced by 20% (2016 baseline: travel time of each project).
• Travel time on national project roads reduced by 10% (2016 baseline: travel time of each project).
• Average daily vehicle-km increased to 4.6 million (2016 baseline: 3.5 million vehicle-km).",171.80,150.00,7.10,7.08, (0.66)
https://www.adb.org/projects/53178-001/main#project-pds,"Georgia: East–West Highway (Shorapani–Argveta Section) Improvement Project (3861/FY2019). Finance the construction of about 14.7 km of access-controlled, dual two-lane carriageway, partly on new alignment, on the East–West Highway between Shorapani and Argveta, which is part of Corridor 2 of the Central Asia Regional Economic Cooperation Program.",A,"By 2026:
• Average travel time between Chumateleti and Argveta reduced to 45 minutes (2018 baseline: 71 minutes).
• Annual average number of fatalities between Chumateleti and Argveta over 5 years fell to 9.0 or fewer (2014–2018 average baseline: 12.4).",367.40,278.00,0.63,0.42, (0.01)
https://www.adb.org/projects/50322-002/main#project-pds,"China, People's Republic of: Jilin Yanji Low-Carbon Climate-Resilient Healthy City Project (3876/FY2019). Provide multiple cross-benefits from an integrated solution delivered to improve the urban livability of Yanji City (a medium-sized city), which is timely and essential to lessen migration to the coastal mega-urban regions and to provide a demonstration project for replication in the PRC.",A and M,"By 2028:
• GHG emissions in Yanji City from transport sector reduced by 60,000 tons of CO2 equivalent per year (2017 baseline: 0).
• Modal share of public transport increased by 8% (2017 baseline: 44%).
• Flood risk in the urban catchment area of Chaoyang River reduced to 1-in-50 years (2017 baseline: 1-in-20 years).
• Annual conservation of 4.8 million tons of drinking water achieved (2017 baseline: 0).",259.79,130.00,49.00,25.28, (1.29)
https://www.adb.org/projects/40540-018/main#project-pds,"Bangladesh: SASEC Dhaka–Northwest Corridor Road Project, Phase 2, Tranche 2 (3883/FY2019). Improve the road connectivity of the Dhaka–Northwest international trade corridor. This is a time-slice multitranche financing facility with the project outputs to be achieved when all of the phased tranches have been completed.",A,"By 2028:
• Use of project roads (average daily vehicle-km in the first full year of operations) reaches 8.31 million vehicle-km (2016 baseline: 4.20 million vehicle-km).",497.97,398.38,26.10,25.29, (1.22)
https://www.adb.org/projects/49258-002/main#project-pds,Bangladesh: Dhaka Mass Rapid Transit Development Project Readiness Financing (Line 5: Southern Route) (6023/FY2019). Support the preparation and high project readiness of the ensuing loan. The Dhaka Mass Rapid Transit Line 5 (Southern Route) will be constructed between Gabtoli and Dasherkandi stations with a length of about 17.4 km.,M,• Project preparation and design activities financed.,44.58,33.26,33.26,19.58, -   
https://www.adb.org/projects/53118-002/main#project-pds,"Georgia: Livable Cities Investment Program (6024/FY2019). Adopt multiple strategies, new initiatives, and innovative funding mechanisms at both national and regional levels through integrated urban investment planning. Tbilisi, the capital city of Georgia, contributes 70% of the national gross domestic product, with about half of the country's urban population concentrated in it. ADB undertook a National Urban Assessment in 2015 that identified the need for balanced regional development to unlock the potential for inclusive economic growth through urban development. ",A and M,• Project preparation and design activities financed.,18.27,15.00,0.23,0.07, -   
https://www.adb.org/projects/51073-003/main#project-pds,"India: Delhi–Meerut Regional Rapid Transit System Investment Project (3964/4404/FY2020). Finance the first of three prioritized corridors of the planned regional rapid transit system network in India's National Capital Region. The 82-km corridor will provide safe, reliable, and high-capacity commuter transit services between various locations along the corridor. ",A and M,"By 2028:
• Travel time between Delhi and Meerut by train reduced to 1 hour (2020 baseline: 3–4 hours). 
• 258,035 tons of CO2 reduced per year (2020 baseline: 0).","3,949.70",750.00,750.00,580.69, (43.86)
https://www.adb.org/projects/52298-001/main#project-pds,"India: Maharashtra State Road Improvement Project (3911/FY2020). Upgrade and maintain about 450 km of state roads forming part of the core road network in Maharashtra, which will enhance transport accessibility and efficiency, and improve the sustainability of the road network.",A,"By 2025:
• Average daily vehicle-km traveled on project roads in the first full year of operation increased to 3.5 million average vehicle-km per day (2019 baseline: 2.9 million average vehicle-km per day). 
• Average travel time on project roads reduced by at least 15% for motorized transport (2019 baseline: 1.8 minutes per km for motorized transport).
• Average number of fatalities per year in road accidents on the project roads reduced by at least 5% (2019 baseline: 29 fatalities).",255.99,177.00,12.76,10.71, (0.90)
https://www.adb.org/projects/52230-001/main#project-pds,"China, People's Republic of: Xiangtan Low-Carbon Transformation Sector Development Program (3987/FY2020). Enhance the ongoing efforts of the Xiangtan Municipal Government to transform Xiangtan from a carbon-intensive, heavily polluting city to a low-carbon, resilient, smart, and livable city, while pursuing continuous growth. Demonstrate infrastructure transformation through the integration of transport, building, energy, and climate resilience solutions, complemented by information and knowledge systems.",A and M,"By 2026:
• At least 337 ktCO2e reduced per year (2019 baseline: not applicable). 
• Public transport and nonmotorized transport users increased by 10% (2019 baseline: 32% walking, 2% cycling, and 19% bus).",395.88,150.00,78.99,16.67, (0.88)
https://www.adb.org/projects/48025-004/main#project-pds,"Uzbekistan: Central Asia Regional Economic Cooperation Corridor 2 (Pap–Namangan–Andijan) Railway Electrification Project, Additional Financing (4000/FY2020). Provide additional financing for the Central Asia Regional Economic Cooperation (CAREC) Corridor 2 (Pap–Namangan–Andijan) Railway Electrification Project, for Modernization of Electrified Line Angren–Pap–Kokand–Andjian Railway Line.",A and M,"By 2025:
• Travel time for passengers from Namangan to Tashkent
reduced to 3 hours (2016 baseline: 5 hours by car).
• Average running speed for freight trains in the Fergana Valley increased to 80 km/h (2016 baseline: 60 km/h).
• CO2 emissions reduced by 24,870 tons per year (2016 baseline: none).",164.00,121.00,121.00,54.35, (2.87)
https://www.adb.org/projects/51401-002/main#project-pds,"China, People's Republic of: Shaanxi Green Intelligent Transport and Logistics Management Demonstration Project (4035/FY2020). Assist Shaanxi Province in reducing GHG emissions by improving operations, facilities, and safety in the transport and logistics sector.",A and M,"By 2027:
• Growth rates of logistics industry in Shaanxi Province and Xi’an City are more than 20 basis points higher than the gross domestic product growth rate (2019 baseline: 8.26%). 
• CO2 net carbon footprint reduced by 69,000 tons per year
(2020 baseline: 0).",804.08,200.00,133.66,23.91, (1.73)
https://www.adb.org/projects/53326-001/main#project-pds,India: Bengaluru Metro Rail Project (4036/FY2020). Construct two new metro corridors totaling 56 km in Bengaluru city.,A and M,"Annual GHG emissions reduced by 40,454 metric tons.
By 2026:
• Travel time by public transport along the corridor decreased by 50% in morning peak time of weekday (2019 baseline: Central Silk Board to K R Puram, 75 minutes; K R Puram to Hebbal, 55 minutes; and Hebbal to airport, 60 minutes). 
• Average daily ridership of public transport along 2A and 2B alignments reaches 1 million, with growth equivalent to two-fold population growth in Bengaluru city (2019 baseline: 300,000 Bengaluru Metropolitan Transport Corporation ridership). ","1,845.00",500.00,500.00,335.13, (19.12)
https://www.adb.org/projects/51117-003/main#project-pds,"Philippines: Epifanio de los Santos Avenue Greenways Project (4043/FY2020). Build or improve a total of 5 km of covered elevated walkways around the four metro rail transit stations (the Balintawak, Cubao, Guadalupe, and Taft mass transit stations) along Epifanio de los Santos Avenue, a major artery in Metro Manila.",M,"Annual GHG emissions reduced by 886 metric tons.
By 2024:
• Pedestrian traffic increased by 5% at key walkway intersections, disaggregated by sex, age, and person with disability (2019 baseline: Balintawak 35,000; Cubao 148,900; Guadalupe 40,000; and Taft 130,000).  
",179.30,123.00,123.00,0.00, (0.49)
https://www.adb.org/projects/54123-001/main#main-pds,Kyrgyz Republic: Urban Transport Electrification Project (4149/FY2021). Jumpstart a long-term transition toward a zero tailpipe-emission transport sector in the Kyrgyz Republic. It will comprise four interlinked outputs: (i) zero-emission tailpipe bus fleet in Bishkek municipality upgraded; (ii) bus depot infrastructure upgraded; (iii) pilot green mobility corridor established; and (iv) Bishkek bus operation sustainability improved. ,M,"By 2025:
• Annual energy savings of Bishkek municipality-owned public bus fleet of 94,000 gigajoules (2021 baseline: 0).
• Annual air pollutant emissions of the Bishkek municipality-owned public bus fleet reduced by 1.8 tons for PM2.5 and 98 tons for NOx, compared with no-project scenario (2021 baseline: 0).
• Annual greenhouse gas emissions of the Bishkek municipality-owned public bus fleet reduced by 10.8 ktCO2e, compared with the no-project scenario (2021 baseline: 0).
By 2024:
• 120 modern battery electric buses with energy usage of 1.1 kWh/km or less deployed (2021 baseline: 0).
• At least 35 chargers of 100 kW and 35 chargers of 300 kW installed (2021 baseline: not applicable).
• Substation infrastructure for up to two bus depots upgraded (2021 baseline: not applicable).",59.55,25.00,25.00,2.86, -   
